Location,Area,BHK,Floor,Balconies,Property Age,Parking,Near Market,Main Road,Furnishing,Price
Ujjain Road,4784,4,1,3,9,Yes,Yes,Yes,Non-Furnished,181.49
Rau-Pithampur Road,3276,4,4,0,40,Yes,Yes,Yes,Non-Furnished,98.86
Scheme No. 94,3934,4,3,1,43,No,No,No,Non-Furnished,145.81
Mahu Naka,4225,4,2,0,19,Yes,No,No,Semi-Furnished,210.48
Scheme No. 140,2949,3,2,0,16,Yes,No,No,Furnished,182.13
Rau,1839,3,4,0,23,No,No,Yes,Non-Furnished,102.85
Vaishali Nagar,1676,3,4,1,8,Yes,Yes,Yes,Semi-Furnished,118.99
Saket Nagar,2219,3,1,2,4,Yes,No,No,Semi-Furnished,134.48
Scheme No. 140,2260,3,2,4,10,No,No,No,Non-Furnished,132.83
Bhawarkuan,1926,3,4,4,31,No,Yes,Yes,Non-Furnished,83.22
Khajrana,2983,3,3,1,3,No,No,No,Semi-Furnished,131.68
Vijay Nagar,1783,3,1,2,44,Yes,Yes,No,Unfurnished,179.71
Scheme No. 140,2353,3,2,3,41,Yes,No,No,Semi-Furnished,112.85
Palasia,3718,4,4,4,13,Yes,Yes,Yes,Non-Furnished,267.47
Silicon City,860,2,2,4,37,Yes,No,No,Non-Furnished,22.81
Indore Bypass,2760,3,4,1,33,Yes,No,No,Furnished,133.43
Mahalaxmi Nagar,765,2,0,1,10,No,No,Yes,Furnished,69.42
Rau-Pithampur Road,2798,3,4,0,34,Yes,No,No,Non-Furnished,87.9
Sudama Nagar,1215,2,4,3,27,Yes,Yes,Yes,Semi-Furnished,52.23
Navlakha,2799,3,1,2,23,Yes,No,No,Non-Furnished,129.81
Palasia,2908,3,4,0,38,No,No,No,Furnished,174.39
Rajendra Nagar,4427,4,3,4,10,Yes,No,No,Non-Furnished,193.34
Rau-Pithampur Road,4798,4,2,2,13,Yes,No,No,Semi-Furnished,191.22
Scheme No. 54,4406,5,2,1,21,Yes,Yes,Yes,Furnished,464.37
Bengali Square,360,1,1,3,32,Yes,No,No,Semi-Furnished,32.83
Mahu Naka,2548,3,1,4,42,Yes,Yes,Yes,Non-Furnished,108.75
Vijay Nagar,4466,5,1,4,32,Yes,Yes,No,Furnished,420.32
Palasia,3473,4,1,3,28,Yes,No,No,Semi-Furnished,217.26
Tilak Nagar,3684,4,4,3,2,Yes,Yes,Yes,Furnished,259.87
Bhawarkuan,964,2,3,3,28,No,Yes,Yes,Semi-Furnished,44.44
AB Road,3192,4,2,4,8,Yes,Yes,Yes,Semi-Furnished,220.05
LIG Colony,1070,2,2,2,27,Yes,No,No,Furnished,58.13
Mahalaxmi Nagar,2773,4,2,2,43,Yes,No,Yes,Semi-Furnished,242.4
Indore Bypass,3391,4,3,3,14,Yes,Yes,Yes,Furnished,194.63
Nipania,749,2,4,4,25,Yes,Yes,Yes,Semi-Furnished,55.4
Pipliyahana,1346,2,2,1,38,No,No,No,Furnished,66.18
Ujjain Road,4392,4,2,4,28,Yes,Yes,Yes,Semi-Furnished,146.09
Silicon City,4847,4,3,4,15,Yes,No,No,Furnished,178.63
Silicon City,4162,4,1,2,3,Yes,No,No,Furnished,170.25
Khajrana,4361,4,1,4,14,Yes,Yes,Yes,Furnished,184.9
Scheme No. 140,2509,3,2,0,41,Yes,No,No,Furnished,124.68
Chandan Nagar,689,1,4,3,42,Yes,Yes,Yes,Semi-Furnished,20.89
Saket Nagar,3414,4,2,0,27,No,No,No,Non-Furnished,162.27
Super Corridor,4981,5,3,2,28,Yes,Yes,No,Furnished,436.32
Annapurna Road,2535,3,3,4,32,Yes,No,No,Non-Furnished,108.01
Bhawarkuan,4660,4,1,3,27,No,No,No,Non-Furnished,194.92
Rau,4143,5,2,0,18,Yes,No,Yes,Furnished,244.15
AB Road,2884,3,2,3,11,Yes,No,No,Furnished,194.33
Bengali Square,3295,4,2,1,24,No,No,No,Non-Furnished,267.63
Limbodi,1618,3,2,4,26,No,No,No,Semi-Furnished,60.75
Annapurna Road,4697,4,3,2,36,Yes,Yes,Yes,Furnished,213.73
Bengali Square,902,2,1,0,17,No,No,No,Semi-Furnished,91.29
Khajrana,3637,4,3,4,41,No,No,No,Non-Furnished,102.01
Vaishali Nagar,1981,3,4,1,16,No,Yes,Yes,Semi-Furnished,130.28
Mahalaxmi Nagar,2910,4,0,1,38,Yes,No,Yes,Furnished,271.83
Dhar Road,2290,3,3,4,27,No,No,No,Semi-Furnished,77.11
MR-10,3372,4,2,0,24,No,No,No,Non-Furnished,179.87
Khandwa Road,4898,4,2,2,4,No,No,No,Furnished,244.03
CAT Road,2571,3,4,2,6,No,Yes,Yes,Non-Furnished,123.26
Tilak Nagar,4662,4,1,1,30,No,No,No,Semi-Furnished,241.24
Vijay Nagar,3257,5,1,3,43,Yes,Yes,Yes,Semi-Furnished,328.79
Ujjain Road,1562,3,3,4,8,Yes,Yes,Yes,Semi-Furnished,64.72
Rau-Pithampur Road,698,1,1,2,45,Yes,Yes,Yes,Semi-Furnished,20.67
Lokmanya Nagar,4317,4,3,3,21,Yes,Yes,Yes,Non-Furnished,196.59
Nipania,459,1,3,1,3,No,No,No,Semi-Furnished,43.11
Nipania,3543,5,2,1,1,No,Yes,Yes,Furnished,340.91
Annapurna Road,4514,4,4,0,13,No,Yes,Yes,Furnished,254.21
Pipliyahana,4509,4,4,4,32,Yes,Yes,Yes,Non-Furnished,228.91
Scheme No. 140,4052,4,2,2,33,Yes,Yes,Yes,Non-Furnished,205.08
Chandan Nagar,548,1,1,3,27,No,Yes,Yes,Non-Furnished,18.07
Mahalaxmi Nagar,3924,5,4,3,12,Yes,Yes,Yes,Non-Furnished,317.41
Rajendra Nagar,4391,4,4,3,4,Yes,Yes,Yes,Non-Furnished,211.14
Lokmanya Nagar,3945,4,4,3,33,Yes,No,No,Furnished,173.63
Sudama Nagar,4302,4,3,2,39,Yes,Yes,Yes,Non-Furnished,151.09
Pipliyahana,1899,3,1,3,20,Yes,Yes,Yes,Non-Furnished,104.86
Vijay Nagar,3252,5,4,4,21,Yes,Yes,No,Furnished,341.24
Chandan Nagar,651,1,2,2,9,No,Yes,Yes,Furnished,28.32
Limbodi,1349,2,3,1,25,No,No,No,Non-Furnished,48.92
Pardesipura,783,1,3,4,11,Yes,Yes,Yes,Non-Furnished,37.64
Silicon City,2349,3,4,3,20,No,No,No,Non-Furnished,75.51
Tilak Nagar,3787,4,4,2,3,Yes,No,No,Furnished,257.77
Vijay Nagar,3890,5,2,4,37,Yes,No,No,Semi-Furnished,367.5
Bengali Square,4869,5,3,2,20,No,No,Yes,Semi-Furnished,452.42
Vaishali Nagar,4373,4,1,1,29,Yes,No,No,Semi-Furnished,247.24
CAT Road,2488,3,3,3,13,Yes,No,No,Semi-Furnished,114.63
Limbodi,2555,3,3,3,37,Yes,No,No,Semi-Furnished,87.06
Bhawarkuan,1520,3,3,4,44,Yes,Yes,Yes,Semi-Furnished,60.43
Gandhi Nagar,1694,3,3,0,29,Yes,Yes,Yes,Furnished,76.64
Rau-Pithampur Road,1074,2,4,3,15,Yes,No,No,Furnished,45.15
Lokmanya Nagar,4161,4,3,1,13,Yes,Yes,Yes,Non-Furnished,199.93
Super Corridor,4486,5,2,2,44,No,No,No,Semi-Furnished,414.35
Navlakha,2007,3,1,3,32,No,Yes,Yes,Semi-Furnished,93.04
Annapurna Road,4684,4,4,4,18,No,Yes,Yes,Furnished,252.82
Vijay Nagar,4685,5,4,4,23,No,No,Yes,Unfurnished,427.75
Super Corridor,1276,2,1,2,20,No,No,No,Furnished,128.83
Vijay Nagar,2199,4,3,3,24,No,No,Yes,Furnished,246.33
AB Road,4480,4,1,3,42,No,Yes,Yes,Semi-Furnished,220.03
Ring Road,1460,2,3,1,15,Yes,Yes,Yes,Non-Furnished,79.54
Bhawarkuan,1775,3,3,2,23,No,No,No,Semi-Furnished,82.03
Mhow Road,1865,3,2,1,15,No,No,No,Non-Furnished,72.17
Pardesipura,2264,3,4,1,26,No,No,No,Non-Furnished,88.58
Ring Road,1926,3,2,3,16,Yes,Yes,Yes,Furnished,111.23
Mahu Naka,699,1,2,2,44,No,Yes,Yes,Semi-Furnished,30.62
Scheme No. 54,4341,5,2,4,17,No,No,Yes,Non-Furnished,468.18
AB Road,3414,4,3,4,37,No,Yes,Yes,Furnished,186.48
Vaishali Nagar,2443,3,3,1,22,No,No,No,Non-Furnished,139.86
Bhawarkuan,1844,3,1,1,19,Yes,No,No,Non-Furnished,84.22
Annapurna Road,4021,4,2,3,40,No,No,No,Furnished,168.04
Vaishali Nagar,2849,3,4,3,11,No,Yes,Yes,Non-Furnished,184.91
Pipliyahana,1306,2,3,3,45,No,No,No,Semi-Furnished,58.78
Limbodi,2260,3,1,0,32,No,No,No,Furnished,82.34
Nipania,4592,5,0,3,25,Yes,Yes,Yes,Furnished,411.74
Khandwa Road,4225,4,3,2,45,Yes,Yes,Yes,Non-Furnished,140.76
Scheme No. 140,2942,3,2,2,44,Yes,Yes,Yes,Furnished,145.67
Silicon City,3754,4,2,4,8,No,No,No,Non-Furnished,134.47
Rajendra Nagar,928,2,1,2,37,No,Yes,Yes,Non-Furnished,31.49
Rajendra Nagar,3179,4,4,1,5,No,No,No,Furnished,157.47
Scheme No. 54,3490,4,4,1,13,Yes,Yes,No,Furnished,360.39
Ujjain Road,3920,4,2,3,25,Yes,No,No,Non-Furnished,123.42
Super Corridor,3354,4,0,3,21,Yes,No,Yes,Semi-Furnished,326.51
Sudama Nagar,908,2,2,0,9,Yes,Yes,Yes,Non-Furnished,43.78
Palasia,4617,4,2,2,33,No,Yes,Yes,Furnished,295.04
Annapurna Road,3500,4,3,4,10,No,Yes,Yes,Semi-Furnished,194.09
Mhow Road,2695,3,1,2,24,No,Yes,Yes,Non-Furnished,99.0
MR-10,3069,4,1,4,18,No,No,No,Non-Furnished,169.64
Limbodi,2884,3,4,2,21,No,Yes,Yes,Semi-Furnished,119.13
LIG Colony,2963,3,2,4,20,No,No,No,Non-Furnished,151.47
Rau-Pithampur Road,3608,4,1,2,42,Yes,Yes,Yes,Furnished,113.01
Mhow Road,3903,4,3,1,28,Yes,Yes,Yes,Non-Furnished,140.85
Tilak Nagar,1221,2,4,1,44,No,No,No,Non-Furnished,54.08
Lokmanya Nagar,4141,4,1,2,3,No,Yes,Yes,Non-Furnished,208.0
Annapurna Road,2228,3,1,4,39,No,Yes,Yes,Non-Furnished,88.67
AB Road,746,1,4,4,15,No,No,No,Furnished,48.86
Silicon City,820,2,4,4,39,Yes,No,No,Furnished,23.37
Scheme No. 94,4833,4,3,0,9,Yes,Yes,Yes,Semi-Furnished,273.2
Vaishali Nagar,3385,4,3,4,42,Yes,No,No,Furnished,179.74
MR-10,4976,4,1,2,27,Yes,Yes,Yes,Furnished,291.71
Ring Road,4772,4,2,3,42,No,Yes,Yes,Non-Furnished,198.77
Khandwa Road,2854,3,1,4,5,Yes,Yes,Yes,Furnished,146.15
Ring Road,1838,3,1,3,7,Yes,Yes,Yes,Semi-Furnished,109.4
Mahu Naka,3628,4,3,4,6,Yes,Yes,Yes,Semi-Furnished,205.71
Lokmanya Nagar,3949,4,3,2,19,No,No,No,Non-Furnished,175.12
Limbodi,3040,4,2,2,29,No,No,No,Semi-Furnished,110.8
MR-10,3464,4,1,2,15,No,No,No,Semi-Furnished,206.65
Gandhi Nagar,1272,2,3,3,38,Yes,No,No,Furnished,51.37
Mahalaxmi Nagar,1333,3,1,1,35,Yes,Yes,No,Semi-Furnished,116.9
Bengali Square,1984,3,4,1,6,Yes,No,Yes,Semi-Furnished,204.71
Silicon City,4266,4,4,2,8,Yes,Yes,Yes,Semi-Furnished,168.78
Rajendra Nagar,2038,3,2,1,19,No,Yes,Yes,Non-Furnished,83.99
LIG Colony,2043,3,1,1,22,No,Yes,Yes,Non-Furnished,108.01
Pipliyahana,1229,2,2,2,42,No,No,No,Furnished,58.21
Dhar Road,4586,4,1,0,4,No,No,No,Semi-Furnished,190.94
Limbodi,3201,4,2,2,14,Yes,No,No,Semi-Furnished,135.33
Scheme No. 140,1869,3,1,4,36,Yes,No,No,Non-Furnished,89.39
Mhow Road,649,1,3,3,29,No,Yes,Yes,Furnished,25.09
Ujjain Road,1712,3,3,3,28,No,Yes,Yes,Non-Furnished,54.2
Bengali Square,4018,5,0,3,7,Yes,No,Yes,Non-Furnished,417.65
CAT Road,4049,4,2,1,31,Yes,Yes,Yes,Semi-Furnished,162.55
Vijay Nagar,2756,4,1,3,32,No,Yes,Yes,Furnished,285.12
Tilak Nagar,4863,4,1,4,43,No,No,No,Non-Furnished,212.45
Scheme No. 94,3749,4,1,4,45,Yes,Yes,Yes,Non-Furnished,138.04
Bhawarkuan,1428,2,3,2,21,No,Yes,Yes,Non-Furnished,67.19
Rau,4883,5,0,1,9,No,No,No,Furnished,266.1
Khajrana,3453,4,3,0,42,Yes,Yes,Yes,Non-Furnished,99.69
Limbodi,1588,3,1,3,11,No,Yes,Yes,Semi-Furnished,70.19
AB Road,4084,4,2,2,12,Yes,No,No,Semi-Furnished,262.51
Scheme No. 54,1761,3,3,3,5,Yes,Yes,Yes,Furnished,202.47
Indore Bypass,2892,3,2,1,22,Yes,Yes,Yes,Non-Furnished,143.05
Navlakha,1485,2,3,4,35,No,No,No,Non-Furnished,61.55
Bengali Square,1358,3,1,0,32,No,Yes,No,Furnished,130.05
CAT Road,4652,4,4,4,7,Yes,Yes,Yes,Semi-Furnished,233.47
AB Road,1546,3,2,4,31,No,Yes,Yes,Non-Furnished,81.75
Pipliyahana,942,2,3,0,31,Yes,No,No,Furnished,51.43
Gandhi Nagar,2691,3,4,3,23,No,Yes,Yes,Non-Furnished,116.5
MR-10,4367,4,3,3,19,Yes,No,No,Non-Furnished,246.4
Saket Nagar,763,1,3,0,5,No,No,No,Semi-Furnished,45.97
Scheme No. 94,3872,4,3,1,45,Yes,No,No,Furnished,153.68
Vijay Nagar,1621,3,4,3,14,Yes,No,No,Unfurnished,179.37
CAT Road,684,1,2,3,34,Yes,No,No,Furnished,27.53
Dhar Road,3762,4,4,0,7,Yes,Yes,Yes,Semi-Furnished,161.17
Chandan Nagar,3426,4,2,3,24,Yes,No,No,Non-Furnished,114.24
Scheme No. 140,1025,2,2,2,13,Yes,Yes,Yes,Semi-Furnished,65.82
Navlakha,3372,4,1,3,26,No,Yes,Yes,Non-Furnished,158.52
Lokmanya Nagar,1556,3,4,3,43,Yes,No,No,Semi-Furnished,61.55
Rau,3617,5,2,3,36,No,No,Yes,Semi-Furnished,225.22
Rajendra Nagar,4382,4,3,4,3,Yes,Yes,Yes,Non-Furnished,210.74
Scheme No. 94,4400,4,4,0,6,No,Yes,Yes,Semi-Furnished,255.52
Scheme No. 140,2242,3,2,3,19,No,Yes,Yes,Furnished,137.43
Pardesipura,3153,4,4,2,13,Yes,Yes,Yes,Semi-Furnished,152.59
Nipania,1610,3,4,4,40,Yes,No,No,Furnished,134.02
Chandan Nagar,786,1,1,1,23,No,Yes,Yes,Non-Furnished,27.06
Rau-Pithampur Road,3426,4,2,3,24,Yes,No,No,Non-Furnished,118.03
Silicon City,3096,4,4,0,10,Yes,Yes,Yes,Non-Furnished,114.73
Khandwa Road,4969,4,3,2,19,No,Yes,Yes,Semi-Furnished,220.9
Super Corridor,2278,4,1,0,24,Yes,Yes,Yes,Furnished,242.2
Ring Road,1433,2,3,3,22,No,Yes,Yes,Furnished,78.19
Rau-Pithampur Road,838,2,1,4,31,Yes,Yes,Yes,Non-Furnished,28.06
Bhawarkuan,1231,2,3,4,6,No,Yes,Yes,Non-Furnished,65.66
Palasia,1253,2,4,4,39,No,Yes,Yes,Non-Furnished,71.23
Mahu Naka,3489,4,4,1,26,No,Yes,Yes,Non-Furnished,168.34
Super Corridor,4843,5,0,4,1,No,Yes,Yes,Non-Furnished,413.57
Pardesipura,4692,4,1,4,28,No,No,No,Furnished,191.33
Dhar Road,1248,2,1,3,8,No,No,No,Semi-Furnished,50.13
Vaishali Nagar,3613,4,2,2,11,No,Yes,Yes,Non-Furnished,230.47
Bengali Square,4611,5,2,2,2,No,No,No,Non-Furnished,396.79
Navlakha,4874,4,4,2,33,No,No,No,Furnished,225.2
Super Corridor,2020,3,2,0,2,No,No,Yes,Semi-Furnished,215.52
Khandwa Road,1850,3,2,4,29,No,No,No,Non-Furnished,68.5
Limbodi,2013,3,3,2,40,Yes,No,No,Non-Furnished,63.18
Indore Bypass,761,1,1,4,15,No,Yes,Yes,Non-Furnished,38.94
Bhawarkuan,2013,3,3,2,40,Yes,No,No,Non-Furnished,76.23
Scheme No. 140,4740,4,3,0,34,Yes,Yes,Yes,Non-Furnished,239.57
Navlakha,1642,3,2,1,11,Yes,No,No,Semi-Furnished,89.63
Pipliyahana,832,2,1,2,37,No,No,No,Semi-Furnished,39.7
Khajrana,3155,4,1,4,32,Yes,No,No,Furnished,107.33
Bhawarkuan,2135,3,3,3,15,No,Yes,Yes,Furnished,114.35
Silicon City,1070,2,2,2,27,Yes,No,No,Furnished,34.86
Annapurna Road,3883,4,1,2,38,No,Yes,Yes,Furnished,169.5
Khajrana,4455,4,1,3,13,No,Yes,Yes,Non-Furnished,173.77
Silicon City,4445,4,4,4,12,No,No,No,Non-Furnished,155.43
Rau-Pithampur Road,1376,2,2,4,16,Yes,No,No,Non-Furnished,51.8
Chandan Nagar,1904,3,3,3,6,No,Yes,Yes,Non-Furnished,78.42
Tilak Nagar,3417,4,3,2,30,No,Yes,Yes,Semi-Furnished,184.91
Pardesipura,4006,4,1,0,6,No,No,No,Non-Furnished,184.39
Vaishali Nagar,2244,3,3,2,39,No,Yes,Yes,Semi-Furnished,121.95
Ring Road,1600,3,3,0,7,No,Yes,Yes,Semi-Furnished,95.1
Super Corridor,4303,5,0,2,42,No,No,Yes,Non-Furnished,430.36
MR-10,3560,4,4,4,36,Yes,Yes,Yes,Semi-Furnished,193.89
Rau-Pithampur Road,4430,4,2,3,27,No,Yes,Yes,Non-Furnished,151.76
Scheme No. 140,2921,3,4,1,21,No,No,No,Semi-Furnished,167.93
Mahu Naka,3416,4,3,4,34,No,Yes,Yes,Non-Furnished,155.11
LIG Colony,1873,3,1,3,20,No,Yes,Yes,Furnished,107.88
Nipania,2501,4,0,0,37,No,Yes,Yes,Non-Furnished,195.05
Palasia,1346,2,1,1,38,No,No,No,Furnished,78.35
Scheme No. 94,1841,3,1,4,2,No,No,No,Semi-Furnished,105.07
Limbodi,944,2,4,0,2,Yes,No,No,Non-Furnished,43.32
Annapurna Road,2756,3,1,0,34,Yes,No,No,Semi-Furnished,118.89
Super Corridor,4705,5,3,4,12,Yes,Yes,No,Semi-Furnished,484.91
Mahalaxmi Nagar,3651,5,1,4,25,Yes,Yes,Yes,Non-Furnished,275.46
Khandwa Road,2393,3,3,0,25,Yes,Yes,Yes,Semi-Furnished,102.04
Scheme No. 94,4908,4,4,3,38,No,No,No,Semi-Furnished,203.25
Ring Road,4129,4,2,2,43,Yes,No,No,Non-Furnished,165.91
Scheme No. 140,3867,4,1,1,42,No,Yes,Yes,Semi-Furnished,184.55
Silicon City,2982,3,2,0,23,No,No,No,Semi-Furnished,96.01
Palasia,2473,3,2,0,4,Yes,No,No,Semi-Furnished,189.93
Vaishali Nagar,4072,4,4,4,9,Yes,Yes,Yes,Non-Furnished,270.34
Gandhi Nagar,2102,3,3,0,42,No,Yes,Yes,Furnished,83.1
Scheme No. 140,1156,2,4,0,12,No,Yes,Yes,Non-Furnished,70.31
Scheme No. 54,4525,5,4,0,13,No,No,No,Furnished,439.26
Pardesipura,1537,3,1,0,11,Yes,No,No,Non-Furnished,68.96
CAT Road,603,1,2,0,42,Yes,Yes,Yes,Non-Furnished,21.3
Dhar Road,2571,3,4,2,6,No,Yes,Yes,Non-Furnished,106.13
Ring Road,1070,2,4,1,31,No,No,No,Furnished,52.78
Bhawarkuan,3201,4,2,2,14,Yes,No,No,Semi-Furnished,160.06
Indore Bypass,3767,4,2,2,1,Yes,No,No,Furnished,226.04
Ring Road,1486,2,3,1,5,No,Yes,Yes,Non-Furnished,85.32
Annapurna Road,4698,4,1,4,32,Yes,Yes,Yes,Furnished,219.35
Silicon City,3376,4,3,1,45,No,No,No,Semi-Furnished,82.16
Palasia,4104,4,4,3,32,No,No,No,Semi-Furnished,252.23
MR-10,3775,4,4,3,43,No,Yes,Yes,Furnished,196.92
Tilak Nagar,4786,4,3,2,19,Yes,No,No,Furnished,285.97
Bengali Square,1254,2,2,0,2,Yes,Yes,Yes,Non-Furnished,133.87
Mahu Naka,838,2,3,0,30,No,No,No,Semi-Furnished,39.01
Rau,3298,4,2,3,32,No,Yes,Yes,Furnished,222.22
Navlakha,841,2,1,1,43,No,Yes,Yes,Semi-Furnished,34.76
LIG Colony,3910,4,2,1,1,No,No,No,Semi-Furnished,230.31
Pipliyahana,513,1,3,3,31,Yes,No,No,Non-Furnished,26.7
AB Road,3820,4,2,4,3,No,No,No,Semi-Furnished,261.01
Scheme No. 140,3658,4,4,3,10,No,No,No,Non-Furnished,219.08
Mahalaxmi Nagar,4267,5,3,3,1,No,Yes,No,Furnished,361.58
Super Corridor,4368,5,4,0,20,Yes,Yes,Yes,Semi-Furnished,378.52
Palasia,2240,3,1,3,10,Yes,Yes,Yes,Semi-Furnished,169.49
Indore Bypass,559,1,4,2,23,Yes,Yes,Yes,Non-Furnished,28.95
Scheme No. 140,812,2,3,1,42,Yes,No,No,Semi-Furnished,40.06
Rau-Pithampur Road,3066,4,1,0,43,No,Yes,Yes,Non-Furnished,86.74
LIG Colony,2027,3,4,2,6,No,Yes,Yes,Furnished,128.2
Gandhi Nagar,2447,3,1,2,6,Yes,No,No,Semi-Furnished,120.8
Rau-Pithampur Road,3489,4,2,3,13,Yes,Yes,Yes,Non-Furnished,138.04
Super Corridor,2634,4,4,4,9,No,No,No,Semi-Furnished,257.27
Pardesipura,630,1,1,0,39,No,Yes,Yes,Non-Furnished,21.82
Bhawarkuan,2634,3,4,1,21,No,Yes,Yes,Non-Furnished,124.94
Khajrana,1980,3,3,0,42,Yes,Yes,Yes,Non-Furnished,57.49
MR-10,3315,4,2,0,14,Yes,No,No,Furnished,209.29
Rajendra Nagar,910,2,3,3,35,Yes,No,No,Furnished,34.41
Nipania,2377,4,4,2,4,No,No,Yes,Non-Furnished,189.08
Silicon City,986,2,4,3,14,Yes,No,No,Non-Furnished,34.66
Bengali Square,1700,3,0,4,29,No,Yes,Yes,Furnished,170.97
Bengali Square,2572,4,3,0,43,Yes,No,No,Furnished,247.79
Mahu Naka,1090,2,3,2,23,No,No,No,Semi-Furnished,53.08
Ujjain Road,4839,4,2,1,11,No,Yes,Yes,Semi-Furnished,190.38
Pipliyahana,2695,3,1,2,24,No,Yes,Yes,Non-Furnished,141.51
Rau-Pithampur Road,1054,2,1,1,6,Yes,Yes,Yes,Semi-Furnished,46.55
MR-10,973,2,1,0,23,No,No,No,Semi-Furnished,54.7
Silicon City,4260,4,2,0,6,No,Yes,Yes,Semi-Furnished,168.45
Silicon City,4217,4,1,1,19,No,No,No,Furnished,146.13
Limbodi,4861,4,4,2,29,Yes,No,No,Semi-Furnished,180.69
Silicon City,2931,3,4,3,34,Yes,No,No,Furnished,87.55
Chandan Nagar,3773,4,2,3,2,Yes,Yes,Yes,Furnished,175.67
Nipania,4593,5,3,1,32,Yes,Yes,No,Non-Furnished,413.24
Limbodi,2675,3,4,0,10,Yes,Yes,Yes,Non-Furnished,116.98
Vijay Nagar,2816,4,3,3,45,Yes,Yes,Yes,Furnished,288.12
MR-10,3659,4,3,2,3,No,No,No,Furnished,248.62
Scheme No. 140,4118,4,1,4,36,No,No,No,Semi-Furnished,202.07
Mahu Naka,1304,2,3,1,21,Yes,Yes,Yes,Semi-Furnished,68.42
Vijay Nagar,965,2,1,1,2,No,Yes,No,Furnished,136.75
MR-10,643,1,3,2,45,Yes,No,No,Semi-Furnished,32.39
Mahu Naka,1372,2,3,1,12,No,Yes,Yes,Furnished,77.34
Tilak Nagar,1041,2,3,3,12,Yes,Yes,Yes,Semi-Furnished,67.15
MR-10,1073,2,4,0,33,Yes,No,No,Semi-Furnished,59.19
Ujjain Road,3866,4,2,1,10,Yes,Yes,Yes,Non-Furnished,146.75
Palasia,1581,3,4,0,26,No,No,No,Furnished,105.66
Khandwa Road,4661,4,1,1,11,Yes,No,No,Non-Furnished,200.25
Sudama Nagar,2722,3,2,0,3,Yes,Yes,Yes,Semi-Furnished,141.74
MR-10,2943,3,1,4,16,No,Yes,Yes,Non-Furnished,171.66
Super Corridor,2000,3,3,4,14,Yes,No,Yes,Semi-Furnished,190.34
Pardesipura,1601,3,4,1,3,No,Yes,Yes,Furnished,86.88
MR-10,888,2,4,3,41,Yes,Yes,Yes,Semi-Furnished,47.69
Saket Nagar,3774,4,3,3,3,Yes,No,No,Semi-Furnished,232.74
Indore Bypass,1090,2,4,3,23,No,No,No,Non-Furnished,51.91
Dhar Road,3446,4,2,1,44,Yes,No,No,Non-Furnished,90.33
Super Corridor,1772,3,3,1,31,Yes,Yes,Yes,Non-Furnished,177.98
Pipliyahana,1695,3,3,3,31,Yes,Yes,Yes,Semi-Furnished,91.43
Sudama Nagar,2345,3,4,1,39,No,Yes,Yes,Non-Furnished,82.44
Indore Bypass,1644,3,1,2,35,No,Yes,Yes,Semi-Furnished,75.56
Ujjain Road,3533,4,2,4,7,Yes,No,No,Furnished,145.58
Annapurna Road,794,1,2,3,41,Yes,No,No,Semi-Furnished,32.97
AB Road,1592,3,3,1,43,Yes,Yes,Yes,Non-Furnished,77.1
CAT Road,2367,3,2,0,39,No,Yes,Yes,Semi-Furnished,87.08
Palasia,3961,4,3,0,31,Yes,No,No,Furnished,253.65
Rajendra Nagar,2466,3,1,0,13,Yes,No,No,Non-Furnished,103.6
Gandhi Nagar,2335,3,4,3,3,Yes,No,No,Semi-Furnished,120.6
Navlakha,4448,4,1,2,34,No,Yes,Yes,Semi-Furnished,202.14
Dhar Road,1372,2,3,0,9,Yes,No,No,Non-Furnished,53.97
Tilak Nagar,1566,3,1,4,9,No,Yes,Yes,Semi-Furnished,99.05
MR-10,1397,2,4,1,34,No,Yes,Yes,Furnished,78.79
Limbodi,3035,4,2,4,37,Yes,Yes,Yes,Semi-Furnished,105.97
Gandhi Nagar,3903,4,2,0,39,No,No,No,Semi-Furnished,145.85
Rau-Pithampur Road,3322,4,1,1,13,Yes,No,No,Semi-Furnished,131.78
Saket Nagar,4059,4,3,0,12,Yes,Yes,Yes,Furnished,248.43
Mhow Road,2898,3,4,1,26,No,Yes,Yes,Non-Furnished,106.61
Limbodi,3749,4,2,1,14,No,No,No,Semi-Furnished,157.3
Saket Nagar,800,2,2,1,33,Yes,Yes,Yes,Furnished,41.78
Vijay Nagar,3744,5,1,4,21,No,No,Yes,Furnished,373.18
Lokmanya Nagar,768,1,1,2,26,No,No,No,Semi-Furnished,33.41
Khajrana,4882,4,3,4,9,Yes,Yes,Yes,Semi-Furnished,212.11
Super Corridor,1419,3,4,3,25,No,Yes,Yes,Furnished,129.97
Scheme No. 54,998,2,4,2,3,No,Yes,Yes,Non-Furnished,118.33
Nipania,1848,3,4,1,27,Yes,Yes,Yes,Non-Furnished,159.25
AB Road,1755,3,3,3,17,Yes,No,No,Non-Furnished,105.36
Bhawarkuan,1733,3,2,0,44,Yes,No,No,Non-Furnished,62.43
Chandan Nagar,2387,3,2,2,20,Yes,Yes,Yes,Semi-Furnished,90.18
Chandan Nagar,1926,3,2,3,16,Yes,Yes,Yes,Furnished,79.24
Indore Bypass,2202,3,3,4,26,Yes,Yes,Yes,Semi-Furnished,111.95
Mahu Naka,1142,2,3,1,34,No,No,No,Non-Furnished,49.53
Vaishali Nagar,3868,4,4,2,2,No,No,No,Furnished,278.31
